id	sentence	class	entity	nation	valence	dimension	commentary	source
6398	Aus dem Zusammenhänge sowie dem Wortlaute erhellt aber, daß der Dichter nicht auf ein besonderes derartiges Werk hinweist, sondern bloß den Troja und Aeneas betreffenden Abschnitt der Weltchronik im Auge hat, zu dem ihm französische oder lateinische Quellen vorgelegen haben.	0.0	französisch	FRA		other		1892_-_Bächtold_CAB.txt
22612	Kurze Zeit amtete er als Lehrer an der von Widman geleiteten Mädchenschule in Bern und darauf am College in Neuve.	0.0	Bern	CHE		spatial		1951_-_Zäch_CAB.txt
15172	In die Niederlande importierte diese Lyrik Heinrich von Veldeke, in das mittlere Deutschland vermutlich Friedrich von Hausen, in die Schweiz, wohl gegen , der Graf Rudolf von Neuenburg, nach der zwischen dem Bieler und Neuenburger See gelegenen Stammburg von Jenis genannt deutsch Vinelz .	0.0	Deutschland	DEU		other		1914_-_Frey_CAB.txt
22613	Von an fristete er sein Leben als Redaktor, erst in Basel, dann in Frauenfeld und während zwei Jahren in Zürich bei der Neuen Zürcher Zeitung. und waren die beiden Teile der Dichtung Prometheus und Epimetheuss unter dem Pseudonym Felix Tandem erschienen, hatten aber zu Spittlers großem Schmerz kein Echo hervorgerufen.	0.0	Basel	CHE		spatial	is all three dim, we need to talk	1951_-_Zäch_CAB.txt
826	Im Jahre , in ebendemselben, als es ihm gelang, J. Georg Sulzer, einen seiner getreuesten Schüler und Verehrer, nach Berlin zu versetzen, empfahl er J. C. Hirzel in der ersten derartigen Mission an alle Dichter Norddeutschlands.	0.0	Berlin	DEU		other		1861_-_Mörikofer2_CAB.txt
834	Zugleich aber sahen sie wohl ein, daß für den Dichter des Messias von den Höfen der deutschen Fürsten, wo man an französische Artigkeiten oder Gottsched'sche Lobspenden gewöhnt war, nichts zu hoffen sei.	0.0	deutsch	DEU		other		1861_-_Mörikofer2_CAB.txt
17235	Man hat, wie in St_Gallen, auch in anderen deutschen Klöstern Glossare und Glossen angefertigt und Übersetzungen lateinischer Texte gemacht, und das lateinische Waltharlied des St. Galler Mönchs Eckeharts J. unterscheidet sich nach Inhalt, Ton und Gesinnung nicht von dem sonstigen Heldengesang der Deutschen.	0.0	St_Gall	CHE		spatial		1933_-_Ermatinger2_CAB.txt
200	Mit besonderem Eifer nimmt König den schweizerischen Dialekt gegen die deutschen Schulmeister in Schutz.	0.0	schweizerisch	CHE		spatial		1861_-_Mörikofer2_CAB.txt
12455	Auch Zangemeister spricht sich für die Herkunft aus Zürich aus daselbst  über die Erwerbung der Pariser Liederhandschrift.	0.0	Zürich	CHE		other		1892_-_Bächtold_CAB.txt
17629	Die reformierten Städte schlossen Burgrechte unter sich und mit Konstanz und Mülhausen ab, die katholischen Orte verbanden sich mit Osterreich zu der, Christlichen Vereinigung.	0.0	Konstanz	DEU		spatial		1933_-_Ermatinger2_CAB.txt
15446	Eine in Burgdorf eröffnete, bald nach Uverdon verpflanzte Erziehungsanstalt, worin nach seinen Grundsätzen unterrichtet wurde, hielt sich ein Vierteljahrhundert, ging aber ein, worauf der Greis auf sein.	0.0	Burgdorf	DEU		temporal		1914_-_Frey_CAB.txt
8152	Der Rückschlag, die Umkehr zum Alten blieb freilich nicht aus; immerhin erlosch in der Basler Amtssprache um O der Schriftdialekt; mit Beginn des siebzehnten Jahrhunderts war die neuhochdeutsche Schriftsprache im großen Ganzen allgemein verbreitet und Basel der erste schweizerische Ort, der sich an das große hochdeutsche Sprachgebiet anschloß.	0.0	Basel	CHE		temporal		1892_-_Bächtold_CAB.txt
13433	Form und Inhalt war geliehen, bald bei den Franzosen, bald bei den Spaniern und Italienern.	0.0	Franzose	FRA		spatial		1910_-_Jenny-Rossel_Bd_1_CAB.txt
10952	Sein Vater Christoffel Stimmer aus Burghausen bei Salzburg war Lehrer in Konstanz, deutscher Schulmeister in Schaffhausen, Buchbinder und Kalligraph, Bürger, gest. .	0.0	Burghausen	DEU		spatial		1892_-_Bächtold_CAB.txt
12846	Später wurde das Deutschtum mächtig gefördert durch den Sieg der Eidgenossen über Burgund, durch den Eintritt Freiburgs in den Bund, durch den Sieg der deutschen Oberwalliser über das savoyische, Französisch redende Unterwallis, und endlich durch die Eroberung der Waadt BG.	0.0	Freiburg	DEU		other		1910_-_Jenny-Rossel_Bd_1_CAB.txt
14541	Dieser übersetzte italienische Lyriker, sammelte aus den Handschriften schweizerischer Klöster, Hymnen des Mittelalters und dichtete selber religiöse Festklänge, Wanderbilder, Legenden, Spruchverse und überaus innige Marinlieder.	0.0	schweizerisch	CHE		other		1910_-_Jenny-Rossel_Bd_2_CAB.txt
13513	Vier Jahre später aber konnte man das erste epochemachende Buch e Lettres Sur les Anglais et les Francaislesen, geschrieben von einem Berner Patrizier schon vor , also lange bevor Voltaire die Aufmerksamkeit auf die tüchtigen Engländer lenkte.	0.0	Bern	CHE		temporal		1910_-_Jenny-Rossel_Bd_1_CAB.txt
20225	Aber er führte ihn, weil Gott ihn nun einmal dorthin gesetzt hatte, nur für die Schweiz, ja im Grunde nur für das Land Bern.	0.0	Schweiz	CHE		other		1933_-_Ermatinger2_CAB.txt
13989	Bern war immer noch für Paris weit mehr eingenommen als für Berlin.	0.0	Bern	CHE		spatial		1910_-_Jenny-Rossel_Bd_1_CAB.txt
15226	Zwei Jahre nach dem Sempacher Blutbad vollendete der Sieg der Glarner bei Näfels den Zusammenbruch des österreichischen Regiments in der Schweiz.	0.0	Schweiz	CHE		temporal		1914_-_Frey_CAB.txt
8429	Mit den siebenziger Jahren tauchen in Einsiedeln Aufführungen von Türkenschlachten, im Anschluß an die Tagesgeschichte, auf.	0.0	Einsiedeln	CHE		temporal		1892_-_Bächtold_CAB.txt
14960	Die Geschichte der heutigen westschweizerischen Literatur ist, wie diejenige der deutschen Schweiz, von ganz besonderem Interesse, nicht nur hinsichtlich der Zahl und Güte der Werke, sondern auch ihres eigenen Charakters wegen.	0.0	deutsch	DEU		spatial		1910_-_Jenny-Rossel_Bd_2_CAB.txt
1479	Hessens Milde und Vorsicht übte oft einen mäßigenden Einfluß auf Lavater aus, so wie dieser dagegen Hessen zu einer Unerschrockenheit ermutigte, daß Beide, namentlich in der Revolution, mit ihrem Gesinnungsgenossen Muslin in Bern, der Stellung des Predigers eine der apostolischen Zeit würdige Hoheit und Kraft zu geben wußten.	0.0	Hessen	DEU		other		1861_-_Mörikofer2_CAB.txt
12009	Er unterrichtete in Berlin eine Cousine des Marquis d' Argens im Griechischen, betrieb daneben eifrig Englisch.	0.0	Berlin	DEU		other		1892_-_Bächtold_CAB.txt
6863	Er besingt die Schlachten von Murten und Nancy, vielleicht auch den Zug nach Blomont .	0.0	Murte	CHE		spatial		1892_-_Bächtold_CAB.txt
18928	Der Kampf gegen Gottsched machte sein Sprachgefühl unsicher und seine Stellung in der Frage des Gegensatzes zwischen dem Schweizerischen und dem Gemeindeutschen schwankend.	0.0	schweizerisch	CHE		other		1933_-_Ermatinger2_CAB.txt
12981	Die große deutsche Epik ist mit dem Ausgang des . Jahrhunderts vorbei und ist erst am Ende des . Jahrhunderts auferstanden.	0.0	deutsch	DEU		temporal		1910_-_Jenny-Rossel_Bd_1_CAB.txt
550	Das größte Verdienst war, daß die Züricher Maler den Mut hatten deutsch zu schreiben, mit möglichster Vermeidung der damals zur allgemeinen Mode gehörenden Beimischung fremder Wörter, und daß sie sich, durch Laufend darin ermuntert, von den anderen Freunden nicht abwendig machen ließen, wie z. B. Rodolf, der selbst ein geschliffenes Französisch schreibend, das Deutsche zu keiner Darstellung tauglich findet; und eben so wenig durch Zellweger, der sich gegen seine Berner Freunde öfteren Scherz über den harten und gezierten Stil der Zürcher herausnimmt.	0.0	deutsch	DEU		other		1861_-_Mörikofer2_CAB.txt
2195	Er sollte sich nun dem Kaufmannsstande widmen, kam nach Genf, später nach Oberitalien.	0.0	Genf	CHE		temporal		1866_-_Weber_Bd_1_CAB.txt
19999	Man kann wohl annehmen, das die von den Gnädigen Herren in Zürich geflissentlich betonte Abhängigkeit des Landstädtchens Winterthur ihm wie anderen seiner Mitbürger eine größere Freiheit des Blickes und einen kräftigeren Sinn für Unabhängigkeit erzeugte, als sie die Spiessbürger in Zürich im allgemeinen besaßen.	0.0	Zürich	CHE		spatial		1933_-_Ermatinger2_CAB.txt
8489	Nachdem Fama das Gerücht gemeldet, Wilhelm sei in Irland umgekommen, beschwor der König von Frankreich mit dem Großtürken eine Allianz, wobei Europa ohnmächtig vom Throne stand.	0.0	Frankreich	FRA		other		1892_-_Bächtold_CAB.txt
8140	Nicht zu unterschätzen ist endlich der Einfluß deutscher Schriftsteller, die von außen nach der Schweiz gekommen waren und das neue Deutsch zu schreiben fortfuhren so der Chronist Stumpf, so namentlich in Basel Oekolampad, Sebastian Frank, Sebastian Münster u. a. Mit dem Ende des sechzehnten Jahrhunderts beginnt in schweizerischen Schriftwerken ein merkliches Zurücktreten des dialektischen Bestandteils; die meisten literarischen Erzeugnisse bieten von da an ein fragwürdiges Gemisch von Mundart und neuhochdeutscher Schriftsprache.	0.0	deutsch	DEU		other		1892_-_Bächtold_CAB.txt
21021	Das Gedicht Des Teufels Segi, in dessen Verfasser Baechtold einen Schweizer vermutete, ist schwäbischen Ursprungs.	0.0	Schweizer	CHE		spatial		1933_-_Ermatinger2_CAB.txt
19097	Nun setzt, nach fast zwei Jahrhunderten der Absonderung, jener freie Verkehr deutscher Dichter und Gelehrten mit der Schweiz aufs neue ein, der ihr im sechzehnten Jahrhundert so reichen Zustrom an Geist, Wissen und Kunst gebracht hatte.	0.0	deutsch	DEU		temporal		1933_-_Ermatinger2_CAB.txt
15168	Antike, orientalische und altfranzösische Stoffe drangen über die Grenze, von dem modernen Medium der französischen Ritterschaft gefärbt und bereits künstlerisch gestaltet.	0.0	französisch	FRA		temporal		1914_-_Frey_CAB.txt
8122	Damit bekam der Dialekt des mittleren Deutschland der mitteldeutsche das Übergewicht über den süddeutschen.	0.0	Deutschland	DEU		spatial		1892_-_Bächtold_CAB.txt
13455	Die Maria Stuart wurde beispielsweise in zwei verschiedenen Bearbeitungen in Zug und in Einsiedeln gespielt, in Solothurn ein Don Carlos.	0.0	Zug	CHE		spatial		1910_-_Jenny-Rossel_Bd_1_CAB.txt
16185	Der Geist, gegen den der Bund seine Waffen rüstete, war bis zum Ende des achtzehnten Jahrhunderts in den verschwisterten Schulen zu Solothurn und Luzern verkörpert. Und dieser Lebenskreis beider Städte befand sich seit der Mitte des achtzehnten Jahrhunderts in lebhafter Umbildung.	0.0	Solothurn	CHE		other		1924_-_Nadler_CAB.txt
22240	Ja, die Sprache der literarischen Erzeugnisse der Schweiz passte sich nun ganz dem gemeindeutschen Gebrauche an, während man bisher zwar nicht reine Mundart, aber doch eine mundartlich gefärbte Sprache geschrieben hatte.	0.0	Schweiz	CHE		spatial		1951_-_Zäch_CAB.txt
19185	Die Veröffentlichung überließ er seinem Schüler Heinrich Müller, eigentlich Müller, der, wegen des Bauerngesprächs über die Unruhen in Genf aus Zürich verbannt, in Berlin als Gymnasiallehrer eine neue Wirkungsstätte gefunden hatte.	0.0	Genf	CHE		spatial		1933_-_Ermatinger2_CAB.txt
7030	Mit Worten und gesungenen Liedern wurde er verunglimpft und entfloh, da er Leibes und Gutes nicht mehr sicher zu sein glaubte, heimlich nach dem Kloster Weil, von da über Stuttgart und Ulm nach der Schweiz, hielt sich kurze Zeit in Zürich auf, wurde aber schon im Dezember des nämlichen Jahres zum zweiten Kanzler Ulrichs V. von Würtemberg und dessen Sohnes Eberhart JJ. ernannt.	0.0	Stuttgart	DEU		both		1892_-_Bächtold_CAB.txt
22146	Die einen suchen Hilfe in allen Weltstädten, von Rom, Venedig, Paris, Köln bis Konstantinopel, die anderen bei den Schweizern; doch erreichen sie außer Vermittlungsversuchen nichts.	0.0	Paris	FRA		spatial		1951_-_Zäch_CAB.txt
19810	Im Aargau und in Luzern kam es zu leidenschaftlichen Kämpfen des Liberalismus mit dem Katholizismus.	0.0	Aargau	CHE		spatial		1933_-_Ermatinger2_CAB.txt
2215	Er wurde so der Erste, der Deutschland mit den englischen Dichtern bekannt machte und mittelbar einen großen Einfluß auf Klopstock übte, wie er denn auch diesen Dichter aus der Enge drückender Verhältnisse mit väterlicher und neidloser Liebe an sich zog und ihm den Weg zu seinen späteren Erfolgen bahnte.	0.0	Deutschland	DEU		spatial		1866_-_Weber_Bd_1_CAB.txt
2656	Dies ging ihm sehr zu Herzen, und sein Leben lang konnte er nicht glauben, daß unserem Vaterland von Frankreich her etwas Gutes komme.	0.0	Vaterland	CHE		both		1866_-_Weber_Bd_1_CAB.txt
6256	Leider besitzt unser Land während der mittelhochdeutschen Zeit keinen Mittelpunkt mehr, wie es ihn in der abgelaufenen Epoche in St_Gallen gehabt oder wie ihn nunmehr draußen im Reich die Höfe der Babenberger und der Landgrafen von Thüringen boten.	0.0	St_Gallen	CHE		temporal		1892_-_Bächtold_CAB.txt
1579	Als aber die durch Raub und Tyrannei der Franzosen schmachvolle Revolution der Schweiz Lavateeren zu jenem heldenmütigen Widerstand erhob, wozu ihn der klare Blick in Menschen und Verhältnisse, voraus aber die Erkenntnis der ewigen Wahrheit führte wie sehr verirrte sich der für den Adel der Menschennatur und die Menschenrechte schwärmende Pestalozzi vom Wege des Rechtes und der Staatsweisheit, daß er sich herbeiließ, in einer Reihe kleiner Flugschriften aus dem Jahre Wortführer der Revolution zu werden!	0.0	Franzose	FRA		other		1861_-_Mörikofer2_CAB.txt
8220	Die Erzählung beschränkt sich nicht auf bernische oder schweizerische Verhältnisse, sondern verbreitet sich auch über die italienischen Feldzüge, die allgemeine Reformation und die Bauernkriege.	0.0	schweizerisch	CHE		spatial		1892_-_Bächtold_CAB.txt
17917	hat der in Bruchsal geborene Johannes Stumpf, Pfarrer in Bubikon, dann in Stammheim, seine Schweizerchronik herausgegeben, nachdem er bereits eine Geschichte des Konzils von Konstanz veröffentlicht hatte.	0.0	Bruchsal	DEU		both		1933_-_Ermatinger2_CAB.txt
7592	Somit wäre ein merkwürdiger Zusammenhäng zwischen dem schweizerischen und Ammergaue Drama konstatiert.	0.0	schweizerisch	CHE		other		1892_-_Bächtold_CAB.txt
15873	Sie haben Frankreich ein Zweisache eingepragt dass die Literaturgeschichte von Paris noch nicht die französische Literafurgeschichte ist und dass in der europäischen Literatur der französische Geist einen Bruder anerkennen muss, den deutschen Geist.	0.0	Frankreich	FRA		spatial		1918_-_Korrodi_CAB.txt
13649	In Leipzig war es der angesehene Kritiker Gottsched, welcher seine Stimme für Haller erhob, obschon er in seinem ganzen eingebildeten Wesen und in der Voreingenommenheit für den französischen Klassizismus das Gegenstück des Schweizers verkörperte und wohl zuerst glaubte, Hallers altertümliche Alexandriner würden in keinem Widerspruche stehen mit seinem autoritativen Begehren an die deutschen Dichter, sich an die festen Regeln seiner von Boileau regierten Poetik zu halten.	0.0	Leipzig	DEU		spatial		1910_-_Jenny-Rossel_Bd_1_CAB.txt
14384	Bern wetteiferte damals mit Zürich, ja, das Nationalgefühl war dort aufgerüttelt durch die Tage von Grauholz und Neuenegg vielleicht noch kräftiger geworden als in der schöngeistigen Limmatstadt, wo man über den Zopf spottete und selber hinten ein hübsches Zöpfchen trug.	0.0	Bern	CHE		spatial		1910_-_Jenny-Rossel_Bd_2_CAB.txt
8863	Die übrigen moralischen Wochenschriften der Schweiz greifen wie diejenigen Deutschlands sämtlich auf die Diskurse zurück, ohne deren Bedeutung zu erlangen.	0.0	Schweiz	CHE		spatial		1892_-_Bächtold_CAB.txt
16915	Die nördliche Ebene der Schweiz hängt mit Deutschland, die südlichen mit Italien zusammen, und so gehörte noch vor sechshundert Jahren der Norden unseres Landes zum Deutschen Reich, der Westen zu Burgund, der Süden zu Italien.	0.0	Schweiz	CHE		both		1933_-_Ermatinger2_CAB.txt
7495	Johannes Kolroß Rhodontracius , vielleicht aus Hochdorf Luzern stammend, stand der deutschen Knabenschule zu den Barfüßen in Basel vor und soll nach einer unverbürgten Nachricht gestorben sein.	0.0	Luzern	CHE		both		1892_-_Bächtold_CAB.txt
21680	Seinen Eisenhut trug ein Luzerner von Rothenburg hinweg, und seine Hallbarde fiel in die Hand des Schützenhauptmanns Heinrich Fleckenstein von Luzern.	0.0	Rothenburg	DEU		spatial		1943_-_Korrodi_CAB.txt
14721	Seine Jugendwerke bezeichnen und schließen, nach seinem eigenen Bekenntnis, eine Lebensepoche ästhetischer Beschaulichkeit, mannigfaltigster, vielsprachiger Lektüre, verschiedener Interessen, ohne die Glut einer erwärmenden Parteinahme des Herzens, und vieler nachhaltiger Reiseeindrücke, deren stärkster neben der unwiderstehlichen Anziehung meiner heimischen Schneeberge, die alte Kunstgröße und der süße Himmel Italiens war.	0.0	Schweiz	CHE		spatial		1910_-_Jenny-Rossel_Bd_2_CAB.txt
13498	Das . Jahrhundert beginnt mit der Loslösung von Frankreich und mit der Annäherung an England.	0.0	Frankreich	FRA		both		1910_-_Jenny-Rossel_Bd_1_CAB.txt
21643	Dazwischen stellt England an kolonialer und kommerzieller Größe Holland in den Schatten.	0.0	England	ENG		spatial		1943_-_Korrodi_CAB.txt
14746	Weilt er im schönen Italien, so sehnt er sich im Genusse nach dem Norden; ist er in der Heimat, so verlangt es ihn nach dem Süden.	0.0	Norden	DEU		both		1910_-_Jenny-Rossel_Bd_2_CAB.txt
19013	Sogar die schweizerische Aussprache erscheint ihm jetzt tönender und mannigfaltiger als die meißenische.	0.0	schweizerisch	CHE		spatial		1933_-_Ermatinger2_CAB.txt
17152	Bereits dehnte Uri seinen Einfluß nach Süden auf das Urserental aus.	0.0	Uri	CHE		spatial		1933_-_Ermatinger2_CAB.txt
13096	Die neuen Eroberungszüge der Eidgenossen führten über den Gotthard nach dem Tessin und Oberitalien.	0.0	Tessin	DEU		temporal		1910_-_Jenny-Rossel_Bd_1_CAB.txt
16026	Genug dieses Vergleichs, der ja zu dem Bilde verlocken könnte, als wäre Zürich im literarischen Leben die Lokomotive und Bern die Bremse.	0.0	Zürich	CHE		spatial		1924_-_Korrodi_CAB.txt
16589	Dieses Zürich der Doppelbegabung, der geschichtlich künstlerischen Nachgestaltung dessen, was einmal war, dies Zürich der literarischen Bildniskunst, dieser Auflösung von Vergangenem wie Gegenwärtigem, von Natur und Fremdleben ins Persönlichste, dies Zürich mit seiner Mischung von Laune und Bosheit, von Idyllischem und fühlbar Tragischem es war der Vorhof der Erscheinung für den Dichter der Seldwyler und der Züricher Novellen.	0.0	Zürich	CHE		temporal		1924_-_Nadler_CAB.txt
9491	Nachdem er von J J die Akademie in Bern besucht hatte, zog er im folgenden Jahre nach Göttingen, um namentlich bei Haller, der sich des jungen Landsmannes annahm, die Arzneikunft zu studieren.	0.0	Bern	CHE		spatial		1892_-_Bächtold_CAB.txt
6051	Die Hunnen unter Attila ziehen von Pannonien her an den Rhein gegen den Frankenkönig Gibicho zu Worms, über die Sane und Rhone gegen Heinrich von Burgund, der zu Chlons sitzt, und den Aquitanerfürsten Alphere.	0.0	Worms	DEU		spatial		1892_-_Bächtold_CAB.txt
13176	In Basel war ihr Anführer ein gewisser Nikolaus, welcher zu Wien verbrannt und irrtümlich für den sagenhaften Gottesfreund im Oberland gehalten wurde.	0.0	Basel	CHE		both		1910_-_Jenny-Rossel_Bd_1_CAB.txt
8365	Der Sammler, kein Schweizer, ein in Bern lebender Exulant ein Österreicher ist ein gelehrter Herr, in den Alten wohlbelesen und durchaus freisinnig.	0.0	Schweizer	CHE		spatial		1892_-_Bächtold_CAB.txt
16524	Zufällig geboren war der Dichter zu Murten, wo sein Vater als Pfarrer wirkte, aber er stammte aus einer Familie, die schon im frühen sechzehnten Jahrhundert Berner Bürgerrecht befaß.	0.0	Murten	CHE		both		1924_-_Nadler_CAB.txt
11302	Ein Lied zum Lob der Stadt Zürich als Nr. lo in der Schiffmanschen Liederhandschr.; ebendort ein solches auf Solothurn Nr. und ein Loblied auf Bern und Zürich Nr. .	0.0	Zürich	CHE		spatial		1892_-_Bächtold_CAB.txt
16400	Deutsche prägen helfen, zuvörderst und in langen Jahren der gemeinsame Freund und Mitkämpfer Rangers und Stapfers, der Magdeburger Heinrich Zschokke, bis , der als Fußwandererer in die Schweiz gekommen war.	0.0	deutsche	DEU		both		1924_-_Nadler_CAB.txt
18438	Es ist, niedergeschrieben, wie die anderen Stücke ursprünglich zur Aufführung in Freiburg bestimmt gewesen, aber dann am . Oktober zur Feier des Abschlusses des Borromäischen Bundes in Luzern in Anwesenheit der Gesandten der katholischen Orte sowie des päpstlichen Nuntius aufgeführt worden.	0.0	Freiburg	DEU		spatial		1933_-_Ermatinger2_CAB.txt
20471	Gottfried Keller hat diesen Drang in sich gespürt, und es ist bedeutsam, das, wie er in der Mitte der vierziger Jahre sich dem Drama zuwandte, er nicht an die klassische Form der Deutschen, sondern an das alte Volksdrama der Schweiz anknüpfte.	0.0	Schweiz	CHE		both		1933_-_Ermatinger2_CAB.txt
20561	In Bern, Basel, Zürich studierte er von an die Rechte.	0.0	Bern	CHE		both		1933_-_Ermatinger2_CAB.txt
20285	Aber der Liberalismus des neunzehnten Jahrhunderts ist nicht nur das Geschöpf des deutschen Idealismus, sondern auch der englisch französischen Aufklärung und der Revolution des achtzehnten Jahrhunderts.	0.0	deutsch	DEU		temporal		1933_-_Ermatinger2_CAB.txt
18804	Sie beansprucht in ihm eine Bedeutung, die der deutschen Schweiz nicht nur wieder die mehr als anderthalb Jahrhunderte preisgegebene Verbindung mit der deutschen Literatur des Reiches schenkt, sondern ihr in der kritisch ästhetischen Erörterung der Deutschen des achtzehnten Jahrhunderts für etwa ein Jahrzehnt die erste Stelle einräumt.	0.0	deutsch	DEU		temporal	Schweiz	1933_-_Ermatinger2_CAB.txt
13271	Sie drang ins Niederdeutsche und nach England.	0.0	England	ENG		spatial		1910_-_Jenny-Rossel_Bd_1_CAB.txt
16643	Noch immer wird ein Mann wie Müller von Friedberg zu Salzburg gebildet und der Wiener Kreis, wo sich um die ehemaligen Jesuiten die Umstellung des Barock auf das neue deutsche Schrifttum vollzog, blieb tonangebend für den Bereich der Schweizer Jesuiten, wo sich derselbe dichterische Vorgang abspielte.	0.0	Friedberg	DEU		spatial		1924_-_Nadler_CAB.txt
20785	Schweizerische Angelegenheiten müssen durchaus universale Angelegenheiten werden, eidgenössische Entwicklungen allgemein menschliche Interessen.	0.0	schweizerisch	CHE		other		1933_-_Ermatinger2_CAB.txt
14015	Im Frühjahr S kam in Bern ein junger italienischer Professor an, der sich in seinem Vaterland durch Übersetzungen und Kommentare wichtiger ausländischer Werke bekannt gemacht hatte.	0.0	Bern	CHE		spatial		1910_-_Jenny-Rossel_Bd_1_CAB.txt
22596	Viele Reisen, namentlich durch die Schweiz und Italien, befriedigten seine immer rege Wanderlust.	0.0	Schweiz	CHE		spatial		1951_-_Zäch_CAB.txt
12838	Kaum hätte die kleine Schweiz der europäischen Literatur so viele große Namen geben können, wenn sie nur deutsch oder nur französisch gewesen wäre.	0.0	Schweiz	CHE		spatial		1910_-_Jenny-Rossel_Bd_1_CAB.txt
6226	Schon seien der König von Frankreich und dessen Barone für den Heiland gewaffnet, nur das Herz des deutschen Staufers wanke noch.	0.0	Frankreich	FRA		spatial		1892_-_Bächtold_CAB.txt
18229	Das Verhältnis zu Frankreich sollte, so wurde bestimmt, über alle anderen Beziehungen zum Ausland gehen.	0.0	Frankreich	FRA		spatial		1933_-_Ermatinger2_CAB.txt
17027	Wenn z. B. für den Deutschen des Reiches das Wissen um roste Herreche und ihfür den Deutschen des Reiches das Wissen um große Herrscher und ihre Mehrsprachighit.		wissen	DEU		temporal		1933_-_Ermatinger2_CAB.txt
