id	sentence	class	entity	nation	valence	commentary	source
13588	In Basel entstand nun das erste neue nach Goethes Urteil nationale Gedicht, Die Alpen, welches Haller über Erwarten zu einem Dichter Europas erhob.	1.0	Basel	CHE	2.0		1910_-_Jenny-Rossel_Bd_1_CAB.txt
6624	Ebenfalls ein Bürgerlicher, Gast genannt Glieder dieser Familie kommen und l zu Affeltrangen im Thurgau vor hat zwei Spruchstrophen über die Pflichten der Stände hinterlassen	1.0	Thurgau	CHE	-1.0		1892_-_Bächtold_CAB.txt
12193	Mein verehrter Freund, Herr Dr. Ed. von der Hellen in Weimar, der so scharfsinnig Goethes Anteil an Lavateeres Physiogn. Fragmenten festgestellt hat, macht mir folgende dankenswerte Mitteilung	1.0	Weimar	DEU	1.0		1892_-_Bächtold_CAB.txt
15589	Dass, der Landvogt von Greifensee Kellers übrige Novellen an Reichtum übertrifft, das verdankt er mit David Heß, weshalb Keller auf den geistreichen Dilettanten, wie er ihn nennt, auch ausdrücklich hinwies und ihn zitierte.	1.0	Greifensee	CHE	1.0		1914_-_Frey_CAB.txt
10819	Aus der bei A. Döring, Johann Lambach und das Gymnasium zu Dortmund mitgeteilten Inhaltsübersicht von Schoppers, Johannes geschrieben, gedruckt geht keine Anlehnung Aals hervor.	1.0	Dortmund	DEU	0.0		1892_-_Bächtold_CAB.txt
22278	Er gründete in Göttingen das anatomische Institut, den botanischen Garten, die Gesellschaft der Wissenschaften und war Mitglied von Akademien.	1.0	Göttingen	DEU	2.0		1951_-_Zäch_CAB.txt
18334	Auch ein so kleiner Ort wie Schaffhausen errichtete eine eigene theologische Schule, das Kollegium humanitatis, um die künftigen Seelenhirten möglichst an eigener Krippe zu nähren.	1.0	Schaffhausen	CHE	2.0		1933_-_Ermatinger2_CAB.txt
8186	In den übrigen Landesteilen der Schweiz wurde weder von kirchlicher noch von obrigkeitlicher Seite eine bestimmte Übersetzung vorgeschrieben; man sah bloß darauf, daß der Vorrat nicht ausging.	1.0	Schweiz	CHE	-1.0		1892_-_Bächtold_CAB.txt
21708	Wenn ich Dreissig oder vierzig Jahre alt wäre hatte er gegen Jakob Sarasin bemerkt so würde mich es gelüsten, nach Entdeckungen in einer neuen Welt zu reisen; aber nun habe ich große Begierde mich noch viel weiter von Zürich zu entfernen, um in einer besseren Welt mehrerer Fähigkeiten und mehrerer Sinnen zu genießen.	1.0	Zürich	CHE	2.0		1943_-_Korrodi_CAB.txt
13442	Zesen trieb die Reinigung der deutschen Sprache so weit, daß er mythologische Namen verdeutschte.	1.0	deutsch	DEU	-1.0		1910_-_Jenny-Rossel_Bd_1_CAB.txt
15302	Luther wandte sich zur Förderung seines Reformationsprogrammes an die Fürsten, den Adel und die Städte der deutschen Nation und forderte, als er es durch den Bauernaufstand in höchste Gefahr gestürzt sah, mit flammenden Worten auf, die räuberischen und mörderischen Rotten der Bauern niederzumachen.	1.0	deutsch	DEU	-1.0		1914_-_Frey_CAB.txt
19478	Das größte und Dauernde, was die Helvetische Gesellschaft geleistet, ist der mächtige Antrieb zu einer neuen helvetischen Einheit, der Keim eines neuen eidgenössischen Staatsgedankens.	1.0	helvetisch	CHE	2.0	we need to talk	1933_-_Ermatinger2_CAB.txt
1526	Wenn sich übrigens Pestalozi von der Wissenschaft zum Landbau wandte, so darf man sich darob nicht wundern, da damals allgemein für das Landleben und seine Geschäfte geschwärmt wurde, da besonders die naturforschende Gesellschaft in Zürich für den Landbau tätig war und Hirzel durch seine Schrift über Kleinjogg für diese Tätigkeit begeisterte.	1.0	Zürich	CHE	1.0		1861_-_Mörikofer2_CAB.txt
14957	Dasselbe gilt von den bernischen Lustspielen Berner Lütt des Otto v. Greyerz, eines Vorkämpfers der mundartlichen Literatur und Herausgebers der schweizerischen Vollsliedersammlung, Im Röseligarte .	1.0	Greyerz	CHE	0.0		1910_-_Jenny-Rossel_Bd_2_CAB.txt
13693	Die innige Verwandtschaft zwischen Malerei und Dichtung betonten sie stark, ohne aber ihre fundamentalen Unterschiede, wie sie später Lessing im Laokoon aufgedeckt hat, auch nur Jenny und Rössel, Geschichte der Literatur der Schweiz Im Zeichen der Aufklärung obenhin zu ahnen.	1.0	Schweiz	CHE	0.0	we need to talk	1910_-_Jenny-Rossel_Bd_1_CAB.txt
18442	Er hatte vor dem Klausenspiel einen Dialogus de Nicolao Underwaldioe verfertigt und zum Fronleichnamsfest in Freiburg sprechen lassen.	1.0	Freiburg	DEU	0.0		1933_-_Ermatinger2_CAB.txt
15307	Noch rund hundert Jahre nach Manuels Tod hat das Drama in der Schweiz geblüht, reich an Gegenständen und Behandlungsweisen und namentlich in den katholischen Städten oft reich an Ausstattung und Personen.	1.0	Schweiz	CHE	2.0		1914_-_Frey_CAB.txt
9094	Altmann schreibt er ihm am . Dezember meldete, daß Breitinger zu Bern große Mißgünstige hätte, welche sich alle Mühe gäben, die Leute zu bereden, daß ich und nicht er der Vater der Abhandlung von den Gleichnissen wäre; es tue Not, daß er sein Vaterrecht dazu rette.	1.0	Bern	CHE	-1.0		1892_-_Bächtold_CAB.txt
20161	In Aufsätzen und Vorträgen suchte er schweizerische Vaterlandsliebe und Bildung zu verbreiten.	1.0	schweizerisch	CHE	1.0		1933_-_Ermatinger2_CAB.txt
15795	Wer die Wirklichkeitsfreude der neueren Schweizerdichtung darin Sucht, dass auf unsere Berge die Menschen Schienen legen, und dass nun in unseren Alpenromanen nach den schönsten Panoramen das Okular eingestellt ist, dem ist zu erwidern ln der Kunst ist Einsicht in die Menschen wertvoller als Aussicht von den Bergen.	1.0	schweizerisch	DEU	1.0	schweizerisch	1918_-_Korrodi_CAB.txt
20499	Nicht unbegabt, aber verfahren, betriebsam und reklamesüchtig, war er einer jener Ausländer, wie sie von Zeit zu Zeit die Lust verspüren, das, wie sie meinen, verschlafene schweizerische Literaturleben zu größerer Regsamkeit aufzuwecken.	1.0	schweizerisch	CHE	-1.0		1933_-_Ermatinger2_CAB.txt
14657	Und Jacques Ernst entwarf ein Bild aus dem schweizerischen Handwerkerleben in, Schreiner Joseph Kraft, .	1.0	schweizerisch	CHE	0.0		1910_-_Jenny-Rossel_Bd_2_CAB.txt
13923	Nach Wooton zu David Hume geflüchtet, begann Rouseau dort seine Coniessions , in denen wir abgesehen von gewollten Irrtümern und zurechtgemachten Erinnerungen, von widrigen Geständnissen und Verrat an mehr als einem Andenken, das ihm hätte heilig sein müssen, ein einzigartiges Werk finden, das uns fesselt und das trotz allem das bewegteste, ergreifendste und aufrichtigste Buch ist, das die französische Literatur besitzt.	1.0	französisch	FRA	2.0		1910_-_Jenny-Rossel_Bd_1_CAB.txt
18048	Der leidenschaftlichste Kämpfer für den alten Glauben ist der Luzerner Hans Salat. in Sursee geboren, hat er zuerst das Seilerhandwerk gelernt er wird auch Hans Seiler genannt , sich aber dazu eine gründliche humanistische Bildung angeeignet.	1.0	Sursee	CHE	2.0		1933_-_Ermatinger2_CAB.txt
6911	Der letzte notwendige Schritt vollzog sich im vierzehnten Jahrhundert die Oster und Passionsspiele wurden ganz in deutscher Sprache verfaßt.	1.0	deutsch	DEU	0.0		1892_-_Bächtold_CAB.txt
20290	Die Geschichte der Schweiz ist daher in der zweiten Hälfte des neunzehnten Jahrhunderts, wo der Liberalismus als Sieger VJ. J. Geistes leben, Politie, Wirtschaft von die Führung inne hat, wesentlich Wirtschaftsgeschichte, und auch wo sie politisch wird, sind die politischen Vorgänge mehr und mehr durch wirtschaftliche Bedürfnisse bestimmt.	1.0	Schweiz	CHE	0.0		1933_-_Ermatinger2_CAB.txt
2265	Johann Georg Zimmermann wurde im Jahr J Ad in dem aargauischen Städtchen Brugg geboren.	1.0	Brugg	CHE	0.0		1866_-_Weber_Bd_1_CAB.txt
18469	Später hat er als Pfarrer in Alpnach und Sarnen noch sechs weitere Dramen verfasst	1.0	Sarnen	CHE	1.0		1933_-_Ermatinger2_CAB.txt
2205	Diese Aufsätze waren in Deutschland gelesen worden und hatten den kühnen jungen Männern nicht wenig Lob eingetragen.	1.0	Deutschland	DEU	1.0		1866_-_Weber_Bd_1_CAB.txt
20045	Er hatte in Montreux die Bekanntschaft des Dichters Matthisson gemacht, und dieser rang ihm, nach jahrelanger Bearbeitung und schließlich hauptsächlich durch die Vorstellung, es könnte ein Unbefugter die da und dort in Taschenbüchern und Zeitschriften erschienenen Stücke sammeln und herausgeben, die Erlaubnis ab, unter der persönlichen Aufsicht des Verfassers die Sammlung im Drucke herauszugeben.	1.0	Montreux	CHE	1.0		1933_-_Ermatinger2_CAB.txt
639	Diese Prüfung ist mit gesundem Sinn und kräftiger Laune behandelt, und so wollten die Verfasser im weiteren Verlauf eine vollständige Kritik sämtlicher deutscher Dichter aufstellen.	1.0	deutsch	DEU	1.0		1861_-_Mörikofer2_CAB.txt
17011	Sie ist die naturbedingte Staatsform der Schweiz.	1.0	Schweiz	CHE	0.0		1933_-_Ermatinger2_CAB.txt
11520	Von allerhand schönen Sententien, Dictis, Sprichwörtern und Emblematibus, so in täglichen Händel und Wandel zu gebrauchen, vorfallen, in Deutsche Reimen übersetzet, Und aus des Authoris Operibus Manuskriptes zusammengezogen.	1.0	deutsch	DEU	1.0		1892_-_Bächtold_CAB.txt
8742	Ungern kehrte Haller Ende l nach Bern zurück, wo man ihn zu nicht unwichtigen politischen Missionen gebrauchte und Die neue Zeit.	1.0	Bern	CHE	1.0		1892_-_Bächtold_CAB.txt
16584	Auch ich war in Paris versah er den Bericht über seine französische Reise.	1.0	Paris	FRA	0.0		1924_-_Nadler_CAB.txt
19593	Um wendet sich der Aufschwung des politischen Bewußtseins in die Stärkung des literarisch nationalen Schaffens um; der Sturm und Drang reiset alle geistigen Kräfte in die Dichtung und bereitet, als jugendlicher Überschwang deutscher Schöpferinbrunst, aber auch als Vertiefung religiöser und dichterischer Weltanschauung, die Klassik vor, die dann in Goethes Schaffen nach , in dem Schillers etwa fünfzehn Jahre später einsetzt.	1.0	deutsch	DEU	1.0		1933_-_Ermatinger2_CAB.txt
19725	Schon der Titel seines sechsbändigen Hauptwerkes, das von bis in Winterthur erschien, kündigt seine Stellung an	1.0	Winterthur	CHE	0.0		1933_-_Ermatinger2_CAB.txt
14580	Amiel, der ihn in Genf hörte, war entzückt, gerührt, ergriffen.	1.0	Genf	CHE	2.0		1910_-_Jenny-Rossel_Bd_2_CAB.txt
6988	Auf eine Zeit hielt man Nikolaus von Basel und diesen Gottesfreund für die nämliche Persönlichkeit.	1.0	Basel	CHE	1.0		1892_-_Bächtold_CAB.txt
11043	St. Oswald, der seine Hand von England abgezogen, gelobt ihm, Schutzherr der Stadt zu werden und fordert ihn zum Bau einer Kirche auf.	1.0	England	ENG	0.0		1892_-_Bächtold_CAB.txt
22289	Nach Ablauf seiner Amtszeit ließ er sich für den Rest seines Lebens wieder in Bern nieder, weiterhin im Staatsdienst stehend und daneben seinen Beruf als Arzt, Forscher und Schriftsteller betreibend.	1.0	Bern	CHE	0.0		1951_-_Zäch_CAB.txt
2384	Heinrich Pestalozzi, der Begründer der neueren Pädagogik, wurde den . Januar zu Zürich geboren, wo sein Vater Wundarzt war.	1.0	Zürich	CHE	0.0		1866_-_Weber_Bd_1_CAB.txt
19866	Schweizer Singt, ihr Schwestern, singt, ihr Brüder, Singt in frohem Jubelton.	1.0	Schweizer	CHE	2.0		1933_-_Ermatinger2_CAB.txt
16464	Und dieses überkommene Vermächtnis setzte Tanner, als Anwalt in seiner Vaterstadt, in lebendige Gegenwart um, da er den Sempacherverein gründen half, da er seit im Verfassungsrat wirkte, da er durch den Freimütigen für Deutschland und durch Die Alpenrosen von seinem reifenden schöpferischen Vermögen Kunde gab.	1.0	Deutschland	DEU	1.0		1924_-_Nadler_CAB.txt
16377	Henne steht inner halb des Bereiches jener mächtigen Spracharbeit, die sich seit Bodmers Entdeckung der höfischen Literatur bemühte, die ausgewässerte Schriftsprache durch das Wildbad ursprünglichen deutschen Sprachgeistes wieder zu sättigen.	1.0	deutsch	DEU	1.0		1924_-_Nadler_CAB.txt
17567	Ist im fünfzehnten der seltene Humanist außer Niklaus von Wyl ist noch sein jüngerer Freund Albrecht von Bonstetten, etwa von bis , Verfasser von Legenden und historik geographischen Werken zu nennen ein abseits stehender Gelehrter, so wird auf einmal die Schweiz nun der Treffpunkt und Tummelplatz von Führern der geistigen Bewegung.	1.0	Schweiz	CHE	1.0		1933_-_Ermatinger2_CAB.txt
20855	In der Nähe von Straßburg winkt ihm eine nahrhafte Versorgung durch die Verbindung mit der Nichte seines Meisters.	1.0	Straßburg	FRA	1.0		1933_-_Ermatinger2_CAB.txt
20223	Es ist eine Sammlung von Balladen über schweizerische Stoffe sozusagen ein dichterisches Ebenbild der neuen Eidgenossenschaft.	1.0	schweizerisch	CHE	0.0		1933_-_Ermatinger2_CAB.txt
122	Hauptsächlich aber trat seit dem Togenburger Kriege und dem Sonderbündnis Frankreichs mit den katholischen Ständen eine bleibende Entfernung und Mißstimmung der evangelischen Orte gegen den französischen Einfluß ein.	1.0	Frankreich	FRA	-1.0		1861_-_Mörikofer2_CAB.txt
16513	Das dritte war der Staat und diesmal ging es von Burgdorf aus.	1.0	Burgdorf	DEU	0.0		1924_-_Nadler_CAB.txt
16829	Die Schweizer sind bis keine Nation gewesen.	1.0	Schweizer	CHE	-1.0		1933_-_Ermatinger2_CAB.txt
20117	Das Vaterland soll in unserem Almanache recht eine gewaltige Rolle spielen.	1.0	Vaterland	CHE	1.0		1933_-_Ermatinger2_CAB.txt
14158	Jselin half verbessern, und das Buch erschien in Berlin J, in dem Jahre, wo Lessing, der Verfasser der Erziehung des Menschengeschlechts, seine Augen schloß und wo Kants Kritik der reinen Vernunft zu lesen war.	1.0	Berlin	DEU	1.0		1910_-_Jenny-Rossel_Bd_2_CAB.txt
6963	Vielleicht in Ulm, wohin er gegen das Ende seines Lebens versetzt wurde, vernahm er den Tod seiner geistlichen Tochter Elsbeth Stagel.	1.0	Ulm	DEU	-1.0		1892_-_Bächtold_CAB.txt
15599	Weil es sich um einen bestimmten Ort, nämlich um Zürich, um bestimmte Zeitverhältnisse, nämlich zürcherische um das Jahr , und sogar um gewisse wirtliche Vorkommnisse und Personen handelt, glaubte man einfach bloße Abschrift der Wirklichkeit und Nachlassen der dichterischen Erfindung annehmen zu dürfen.	1.0	Zürich	CHE	0.0		1914_-_Frey_CAB.txt
8528	Um die Mitte der siebenziger Jahre bestanden in Zürich bereits drei Blätter neben einander.	1.0	Zürich	CHE	1.0		1892_-_Bächtold_CAB.txt
8111	In Basel schrieb er Aller Praktik Großmutter, gestützt auf ältere schweizerische Scherzkalender dieser Art.	1.0	Basel	CHE	0.0		1892_-_Bächtold_CAB.txt
732	Zu nicht minderer Ehre gereicht den Zürchern, daß Winckelnkanns Ansichten über die Kunst unmittelbar aus denselben Grundsätzen herfließen, daher Gervinus ihn teilweise den Schüler der schweizerischen Ästhetiker nennt .	1.0	schweizerisch	CHE	2.0		1861_-_Mörikofer2_CAB.txt
15755	Gebunden M. J.b Als treuer Hüter steht Fr. Lienhard am Tor des Graltempels der idealistischen Weltanschauung unserer klassischen Kunst von Weimar.	1.0	Weimar	DEU	1.0		1914_-_Frey_CAB.txt
22499	Zwar litt er noch bitterer unter Not und Kümmernissen, Geld und Nahrungssorgen als seinerzeit in München.	1.0	München	DEU	-2.0		1951_-_Zäch_CAB.txt
14896	Was wir bei einigen jüngern Schweizern vermissen, ist der große alle Werke durchzitternde Grundakkord einer persönlichen Welt und Lebensdeutung.	1.0	Schweizer	CHE	-1.0		1910_-_Jenny-Rossel_Bd_2_CAB.txt
387	Der Tod seiner Gattin rief ihm in Göttingen überall nur traurige Erinnerungen hervor, und weder die Gunst des Königs und die Freundschaft Münchhausens, noch sein Erfolg als Lehrer und sein steigender Gelehrtenruhm beschwichtigten die Sehnsucht nach dem Vaterlande.	1.0	Göttingen	DEU	-1.0		1861_-_Mörikofer2_CAB.txt
1889	Humboldt, welcher Müllers Verhältnisse völlig kennt und ihm seine tatsächliche Hilfe anerbietet, sieht indessen ein, daß er unter den bestehenden Verhältnissen nicht in Berlin bleiben kann.	1.0	Berlin	DEU	-1.0		1861_-_Mörikofer2_CAB.txt
13816	Er wurde Forstmeister der Stadt Zürich und durchwanderte seine letzten Jahre im Sielwalde, zur Seite eine prächtige Frau und hie und da besucht von Freunden oder einer fremden Größe, so von Matthisson kurz vor dem Tode.	1.0	Zürich	CHE	2.0		1910_-_Jenny-Rossel_Bd_1_CAB.txt
16635	Sie gewannen ihm einige Staatsräte, und im Herbst konnte er mit einem staatlichen Reisesold nach Heidelberg aufbrechen.	1.0	Heidelberg	DEU	1.0		1924_-_Nadler_CAB.txt
574	Die rechte Innigkeit konnte der Freundschaftsbund jedoch erst erhalten, als Zellweger i. J. nach Zürich kam und die Beiden sich von manchen Seiten in der Gleichheit des Wesens und der Gesinnung begegneten.	1.0	Zürich	CHE	1.0		1861_-_Mörikofer2_CAB.txt
16528	Auf diesen Boden setzte der Pfarrherr Bitzius, zur selben Zeit, da in Bern drüben der besonnene Schwung der drei Burgdorfer Brüder von dem fessellosen radikalen Sturm überwältigt wurde, seinen Schälpflug, um das Erdreich aufzubrechen, dass die Wurzeln des Unkrauts nach oben lägen und besserer Aussaat zur Nahrung verdorrten.	1.0	Bern	CHE	-1.0		1924_-_Nadler_CAB.txt
17073	Das Schauspiel, das die Schweiz in der Zeit der Reformation hervorgebracht hat, stellte den Dichter vor die Aufgabe, in der Erschütterung der Weltanschauung und der Gefährdung des sittlich staatlichen Zustandes das Für und Wider der kirchlichen und weltlichen Ordnung auf Erden zu erörtern.	1.0	Schweiz	CHE	0.0		1933_-_Ermatinger2_CAB.txt
16659	Freiburg im Breisgau, wo man Bernold, Kopp, Krauer, Henne begegnet, war die geschichtliche Hochschule der Schweizer Katholiken, seit dem sechzehnten Jahrhundert, die einzige Habsburgische Hochschule im Reich.	1.0	Freiburg	DEU	0.0		1924_-_Nadler_CAB.txt
833	Klopstock in Zürich im Jahre ist hier größtenteils aufgenommen, jedoch so, daß Einzelnes verkürzt ist und einige Abschnitte ganz weggelassen sind, weil jene Ausführlichkeit über Klopstock dieser Aufgabe nicht entsprochen hätte.	1.0	Zürich	CHE	-1.0		1861_-_Mörikofer2_CAB.txt
15870	Wofür haben Sie gekampft und gelitten, wenn nicht für das Seltsame helvetische Muttermal ihrer zwei Kulturen?	1.0	helvetisch	CHE	-1.0		1918_-_Korrodi_CAB.txt
9719	Diese Das Kloster St_Gallen Vermutung wurde später als gänzlich unbegründet verworfen.	1.0	St_Gall	CHE	-1.0		1892_-_Bächtold_CAB.txt
15342	Er starb zu Bern den . Dezember .	1.0	Bern	CHE	-1.0		1914_-_Frey_CAB.txt
16380	Die bewundernswerte Arbeit seines ganzen Lebens, die einheitliche und geschlossene Neudichtung der gesamten deutschen Heldensage, sein Heldenbuch, hinterließ er als Handschrift von etwa Seiten.	1.0	deutsch	DEU	2.0		1924_-_Nadler_CAB.txt
16625	Und nicht die Stadt, der neue Volksstaat Zürich ist es, dessen Sturm und Drang im Dichter aufging und vergeistigt wurde.	1.0	Zürich	CHE	-1.0		1924_-_Nadler_CAB.txt
1809	Das Vaterland liegt mir freilich am Herzen, aber was kann ich?	1.0	Vaterland	CHE	-1.0		1861_-_Mörikofer2_CAB.txt
18963	Aber Breitinger müsste nicht ein Schweizer sein, wenn er nicht den Zusammenhang zwischen Volkscharakter und Sprache betonte und feststellte, das der Nationalcharakter sich im besonderen in der Sprache ausdrückt.	1.0	Schweizer	CHE	0.0		1933_-_Ermatinger2_CAB.txt
14714	Die Ballade war in der Schweiz bis dahin nur von Dilettanten gepflegt worden, als deren Hauptvertreter Usteri und Reithard gelten mögen.	1.0	Schweiz	CHE	-2.0		1910_-_Jenny-Rossel_Bd_2_CAB.txt
20349	Der Stämpflischen Kriegspartei, die mit,, waghalsigem Idealismus das Auserste zu tun entschlossen war, stellte sich die von Alfred Escher geführte Friedenspartei entgegen, welche die Erwägungen einer klugen Besonnenheit ins Feld führte, auf die Schwäche des Rechtsgrundes und das zahlenmässige Missverhältnis der beiden Gegner, die geringen Aussichten der Schweiz in einem Waffengange hinwies.	1.0	Schweiz	CHE	-2.0		1933_-_Ermatinger2_CAB.txt
7417	Eigentliche Meisterlieder besitzt die schweizerische Literatur Das sechzehnte Jahrhundert.	1.0	schweizerisch	CHE	1.0		1892_-_Bächtold_CAB.txt
15585	Dem nicht eben tragfähigen und dazu nicht eingerichteten Motiv, das natürlich keine Kunst stärker machen konnte, als es von Haus aus war, bürdet Keller allerhand unerfreuliche Eindrücke auf, die sich während der Jahre vor der Drucklegung bei ihm angesammelt hatten so die demokratische Umwälzung in Zürich von , die eine Unmasse persönlichen Schmutzes und gemeiner Verleumdung aufwühlte, und gewisse Erscheinungen unter einigen einflußreichen Geistlichen.	1.0	Zürich	CHE	-1.0		1914_-_Frey_CAB.txt
1158	Er wirkte redlich mit, die Poesie der Engländer und der Alten zum Gemeingute der deutschen Nation zu machen.	1.0	Engländer	ENG	1.0		1861_-_Mörikofer2_CAB.txt
18585	Wohl enthält sein Wortschatz manches schweizerische Wort, und man spürt auch seiner Flexion den schweizerischen Ursprung an.	1.0	schweizerisch	CHE	0.0		1933_-_Ermatinger2_CAB.txt
13444	Grob. reiner deutscher Dichter sein und war ein nachahmender platter Reimschmied, dem nur ausnahmsweise eine hübsche Strophe geriet.	1.0	deutsch	DEU	-2.0		1910_-_Jenny-Rossel_Bd_1_CAB.txt
21869	Ich weiß nicht, wie es kam, Aus kritischen und biographischen Schriften C. F. Meyer Erinnerungen an Gottfried Keller das ich ihn an den Besuch jenes deutschen Freundes erinnerte und ihm erzählte, jener hätte mich hernach gefragt, was es eigentlich für eine Bewandtnis habe mit Ananias und Saphira.	1.0	deutsch	DEU	0.0		1943_-_Korrodi_CAB.txt
14607	Olivier ist in dieser e line Jleur de vaudoiserie ein Wunder gelungen, nämlich das französische Lied, ele Lied Francais. Gelegentlich verleugnet der Scherifsteller den Dichter.	1.0	französisch	FRA	1.0		1910_-_Jenny-Rossel_Bd_2_CAB.txt
21430	Eine Längsfurche, tief und lang Kilometer von der Furka bis zum Leman, in die höchste Erhebung der Alpen eingerissen das ist Wallis.	1.0	Wallis	CHE	0.0		1943_-_Korrodi_CAB.txt
7526	Der Niederländer Gnaphaeus hatte einst zugleich mit unserem Landsmanne, dem berühmten lateinischen Poeten Heinrich Glarean, in der Montaner Burse zu Köln studiert und war Schulrektor in seiner Vaterstadt Haag geworden, wo er wegen seiner Hinneigung zum Protestantismus vertrieben wurde.	1.0	Köln	DEU	1.0		1892_-_Bächtold_CAB.txt
16310	Den Anschluß Graubündens an den Sonderbund, den eine starke Gruppe plante, hat Jakob Ulrich Sprecher vereitelt.	1.0	Graubünden	CHE	-1.0		1924_-_Nadler_CAB.txt
7308	Derselbe Wirre tauchte in Köln auf, versehen mit Zeugnissen oberdeutscher Städte, die ihn als einen geschickten Darsteller der Leidensgeschichte Christi rühmten.	1.0	Köln	DEU	1.0		1892_-_Bächtold_CAB.txt
2601	Einer der vorzüglichsten Schriftsteller, welche die Schweiz gehabt hat, verdankt er diesen Rang dem durch keine äußere Verhältnisse beeinträchtigten Die trefflichen Briefe Hegner's über Lavatar, welche uns offenbar den sichersten Einblick in das Leben dieses seltenen Mannes gewähren, wurden schon erwähnt.Streben, die Kunst in ihrer Tiefe zu erfassen, und der inneren Nötigung, ihr mit ganzer Seele sich hinzugeben.	1.0	Schweiz	CHE	1.0		1866_-_Weber_Bd_1_CAB.txt
21886	Nach Absolvierung des Pädagogiums folgte ein dreivierteljähriger Aufenthalt in Neuenburg, wo ihm der Gang in die französische Gedankenwelt eröffnet und eine zweite geistige Heimat bereitet wurde.	1.0	Neuenburg	DEU	1.0		1943_-_Korrodi_CAB.txt
6347	Doch hat das deutsche Gedicht bedeutende Vorzüge gegenüber seiner Quelle	1.0	deutsch	DEU	2.0		1892_-_Bächtold_CAB.txt
20912	Korrodis besonnene und erfrischende Kritik hat auf eine tatsächliche Wende in der Geschichte der schweizerischen Literatur hingewiesen.	1.0	schweizerisch	CHE	2.0	del	1933_-_Ermatinger2_CAB.txt
8794	französischen Literatur, freier, einsichtiger, nüchterner, kühler, klüger, weniger erregbar als sein Freund, lediglich rezeptiv.	1.0	französisch	FRA	1.0		1892_-_Bächtold_CAB.txt
